condition,run_id,agent_id,turn_rows,blank_belief_rows,blank_belief_rate
C11,simulation_20260715_bearish_30_20260227_20260601,A011,126,27,0.2143
C11,simulation_20260715_bearish_30_20260227_20260601,A012,126,14,0.1111
C11,simulation_20260715_bearish_30_20260227_20260601,A013,126,23,0.1825
C11,simulation_20260715_bearish_30_20260227_20260601,A014,125,16,0.128
C11,simulation_20260715_bearish_30_20260227_20260601,A015,126,26,0.2063
C11,simulation_20260715_bearish_30_20260227_20260601,A016,126,19,0.1508
C11,simulation_20260715_bearish_30_20260227_20260601,A017,125,28,0.224
C11,simulation_20260715_bearish_30_20260227_20260601,A018,126,20,0.1587
C11,simulation_20260715_bearish_30_20260227_20260601,A019,126,17,0.1349
C11,simulation_20260715_bearish_30_20260227_20260601,A020,126,26,0.2063
C11,simulation_20260715_bearish_30_20260227_20260601,A021,126,23,0.1825
C11,simulation_20260715_bearish_30_20260227_20260601,A022,126,18,0.1429
C11,simulation_20260715_bearish_30_20260227_20260601,A023,126,23,0.1825
C11,simulation_20260715_bearish_30_20260227_20260601,A024,126,35,0.2778
C11,simulation_20260715_bearish_30_20260227_20260601,A025,126,18,0.1429
C11,simulation_20260715_bearish_30_20260227_20260601,A026,126,30,0.2381
C11,simulation_20260715_bearish_30_20260227_20260601,A027,126,30,0.2381
C11,simulation_20260715_bearish_30_20260227_20260601,A028,126,14,0.1111
C11,simulation_20260715_bearish_30_20260227_20260601,A029,126,24,0.1905
C11,simulation_20260715_bearish_30_20260227_20260601,A030,126,19,0.1508
C12,simulation_20260715_000826_158697_23249,A001,126,18,0.1429
C12,simulation_20260715_000826_158697_23249,A002,126,26,0.2063
C12,simulation_20260715_000826_158697_23249,A003,126,27,0.2143
C12,simulation_20260715_000826_158697_23249,A004,126,19,0.1508
C12,simulation_20260715_000826_158697_23249,A005,126,33,0.2619
C12,simulation_20260715_000826_158697_23249,A006,126,21,0.1667
C12,simulation_20260715_000826_158697_23249,A007,126,36,0.2857
C12,simulation_20260715_000826_158697_23249,A008,126,22,0.1746
C12,simulation_20260715_000826_158697_23249,A009,126,24,0.1905
C12,simulation_20260715_000826_158697_23249,A010,126,26,0.2063
C12,simulation_20260715_000826_158697_23249,A011,126,22,0.1746
C12,simulation_20260715_000826_158697_23249,A012,126,22,0.1746
C12,simulation_20260715_000826_158697_23249,A013,126,20,0.1587
C12,simulation_20260715_000826_158697_23249,A014,126,28,0.2222
C12,simulation_20260715_000826_158697_23249,A015,126,33,0.2619
C12,simulation_20260715_000826_158697_23249,A016,126,29,0.2302
C12,simulation_20260715_000826_158697_23249,A017,126,36,0.2857
C12,simulation_20260715_000826_158697_23249,A018,126,25,0.1984
C12,simulation_20260715_000826_158697_23249,A019,126,26,0.2063
C12,simulation_20260715_000826_158697_23249,A020,126,29,0.2302
C12,simulation_20260715_000826_158697_23249,A021,126,33,0.2619
C12,simulation_20260715_000826_158697_23249,A022,126,25,0.1984
C12,simulation_20260715_000826_158697_23249,A023,126,23,0.1825
C12,simulation_20260715_000826_158697_23249,A024,126,34,0.2698
C12,simulation_20260715_000826_158697_23249,A025,126,22,0.1746
C12,simulation_20260715_000826_158697_23249,A026,126,33,0.2619
C12,simulation_20260715_000826_158697_23249,A027,126,28,0.2222
C12,simulation_20260715_000826_158697_23249,A028,126,14,0.1111
C12,simulation_20260715_000826_158697_23249,A029,126,23,0.1825
C12,simulation_20260715_000826_158697_23249,A030,126,23,0.1825
