surface,scope,path,category,grain,interpretation_use,bytes,line_count
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_006_2026-04-06_2026-04-10/submitted_orders.csv,orders,submitted order,requested buy/sell orders before fills,111340,301
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_007_2026-04-13_2026-04-17/agent_turns.csv,decision trace,agent × AM/PM turn,"news/context, belief, rationale, action, quantity",254593,301
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_007_2026-04-13_2026-04-17/agent_turns.jsonl,decision trace,agent × AM/PM turn,"news/context, belief, rationale, action, quantity",5846935,300
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_007_2026-04-13_2026-04-17/community_best_posts.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,56,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_007_2026-04-13_2026-04-17/community_interactions.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,110,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_007_2026-04-13_2026-04-17/community_logs.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,115,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_007_2026-04-13_2026-04-17/community_posts.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,62,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_007_2026-04-13_2026-04-17/community_selection_inputs.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,102,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_007_2026-04-13_2026-04-17/daily_exchange.jsonl,daily market summary,date × subturn,"aggregate order/fill counts, price, and volume",261614,10
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_007_2026-04-13_2026-04-17/daily_exchange_summary.csv,daily market summary,date × subturn,"aggregate order/fill counts, price, and volume",953,11
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_007_2026-04-13_2026-04-17/exchange_fills.csv,fills,executed fill,"prices, quantities, and execution",25480,301
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_007_2026-04-13_2026-04-17/portfolio_updates.jsonl,portfolio state,agent × post-fill turn,"cash, holdings, asset value, and PnL",191052,300
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_007_2026-04-13_2026-04-17/run_complete.json,completion marker,run,whether the recorded run completed,304,8
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_007_2026-04-13_2026-04-17/run_metadata.json,run specification,run,"period, condition flags, concurrency, and input paths",1876,95
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_007_2026-04-13_2026-04-17/submitted_orders.csv,orders,submitted order,requested buy/sell orders before fills,107943,301
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_008_2026-04-20_2026-04-24/agent_turns.csv,decision trace,agent × AM/PM turn,"news/context, belief, rationale, action, quantity",248667,301
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_008_2026-04-20_2026-04-24/agent_turns.jsonl,decision trace,agent × AM/PM turn,"news/context, belief, rationale, action, quantity",5832460,300
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_008_2026-04-20_2026-04-24/community_best_posts.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,56,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_008_2026-04-20_2026-04-24/community_interactions.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,110,1
run,chunk copy,outputs/logs/simulation_20260715_30agents_commoff_fakenews_off_20260227_20260601/chunks/chunk_008_2026-04-20_2026-04-24/community_logs.csv,community trace,post/read/reaction,should be empty or irrelevant under C00 community off,115,1
