article_id,date,time_published_input,category,source,url,title,date_published(재수집),date_modified(재수집),effective_exposure_time(=max),rescrape_status
news_20260302_경제_0006,2026-03-02,11:28,경제,mk,https://www.mk.co.kr/news/economy/11976001,"“주식 호황은 남 얘기, 남는 돈 있어야 투자 하지”…4집 중 1집은 ‘적자 살림’",2026-03-02T11:28:48+09:00,,2026-03-02 11:28,ok
news_20260302_경제_0007,2026-03-02,13:00,경제,mk,https://www.mk.co.kr/news/economy/11976018,“비거주 1주택도 잡는다”…규제 정조준에 시장 셈법 ‘복잡’,2026-03-02T13:00:04+09:00,2026-03-02T13:00:04+09:00,2026-03-02 13:00,ok
news_20260302_섹터_0023,2026-03-02,16:01,섹터,mk,https://www.mk.co.kr/news/business/11976059,"LG전자, 퀄컴과 손잡고 차세대 텔레매틱스 기술 혁신 가속",2026-03-02T16:01:00+09:00,,2026-03-02 16:01,ok
news_20260302_종목_0031,2026-03-02,16:03,종목,mk,https://www.mk.co.kr/news/special-edition/11976112,"현대차증권, 삼성전자 · SK하이닉스가 35%로 높은 비중 차지",2026-03-02T16:03:45+09:00,,2026-03-02 16:03,ok
news_20260302_종목_0040,2026-03-02,17:39,종목,mk,https://www.mk.co.kr/news/stock/11976233,미국서 S&P보다 인기 많은 '코리아ETF',2026-03-02T17:39:37+09:00,,2026-03-02 17:39,ok
news_20260302_종목_0041,2026-03-02,17:40,종목,mk,https://www.mk.co.kr/news/economy/11976240,"예산사령탑에 與4선 박홍근…""李정부 성공 위한 톱니바퀴 될 것""",2026-03-02T17:40:29+09:00,2026-03-02T22:45:31+09:00,2026-03-02 22:45,ok
news_20260303_섹터_0017,2026-03-03,05:59,섹터,mk,https://www.mk.co.kr/news/stock/11976587,"“외국인 셀 코리아, 버티면 되겠네”…ETF 시장선 역대급 매수세 유입",2026-03-03T05:59:22+09:00,2026-03-03T08:14:33+09:00,2026-03-03 08:14,ok
news_20260303_섹터_0022,2026-03-03,08:39,섹터,mk,https://www.mk.co.kr/news/stock/11976765,"삼성전자, 릴리 제치고 글로벌 시총 13위…톱 10 가능성은",2026-03-03T08:39:01+09:00,,2026-03-03 08:39,ok
news_20260303_섹터_0027,2026-03-03,09:45,섹터,mk,https://www.mk.co.kr/news/stock/11976882,"[MK시그널] 현대로템, 미국-이란 분쟁에 따른 방산 수혜주 등에 주가 상승세... MK시그널 추천 후 상승률 25.46% 기록",2026-03-03T09:45:11+09:00,,2026-03-03 09:45,ok
news_20260303_경제_0002,2026-03-03,09:54,경제,mk,https://www.mk.co.kr/news/economy/11976894,연초 예대 금리 차 일제히 확대…“머니무브에도 은행 수익성 방어”,2026-03-03T09:54:26+09:00,,2026-03-03 09:54,ok
news_20260303_섹터_0028,2026-03-03,10:00,섹터,mk,https://www.mk.co.kr/news/stock/11976900,"세미티에스, NH스팩29호와 합병 증권신고서 제출",2026-03-03T10:00:49+09:00,2026-03-03T10:04:19+09:00,2026-03-03 10:04,ok
news_20260303_경제_0003,2026-03-03,10:01,경제,mk,https://www.mk.co.kr/news/economy/11976904,중동 난리에 13.3조 푼다... 금융위 “가짜뉴스·시세조종 무관용 엄단”,2026-03-03T10:01:47+09:00,,2026-03-03 10:01,ok
news_20260303_경제_0004,2026-03-03,10:29,경제,mk,https://www.mk.co.kr/news/economy/11976946,"“기름값 뛰면 어쩌죠”...수출입銀, 중동 사태에 원유 구매 자금 지원",2026-03-03T10:29:09+09:00,,2026-03-03 10:29,ok
news_20260303_섹터_0031,2026-03-03,11:02,섹터,mk,https://www.mk.co.kr/news/business/11977008,李 대통령도 웃었다…ETF ‘400조 시대’ 눈앞,2026-03-03T11:02:25+09:00,2026-03-03T11:02:25+09:00,2026-03-03 11:02,ok
news_20260303_섹터_0032,2026-03-03,13:36,섹터,mk,https://www.mk.co.kr/news/world/11977141,정부 “韓경제 당장 문제없다”…전쟁 장기화 땐 ‘위험’ 전망도,2026-03-03T13:36:37+09:00,2026-03-03T13:36:37+09:00,2026-03-03 13:36,ok
news_20260303_경제_0006,2026-03-03,13:47,경제,mk,https://www.mk.co.kr/news/economy/11977149,힘들게 잡혀가던 식품 물가 또 오르나…이란 공격에 식품업계도 ‘비상’,2026-03-03T13:47:51+09:00,,2026-03-03 13:47,ok
news_20260303_섹터_0035,2026-03-03,14:47,섹터,mk,https://www.mk.co.kr/news/stock/11977233,중동 사태에 ‘ 반도체 투톱’ 와르르…삼성전자 20만원·SK하이닉스 100만원 붕괴,2026-03-03T14:47:52+09:00,,2026-03-03 14:47,ok
news_20260303_섹터_0037,2026-03-03,15:01,섹터,mk,https://www.mk.co.kr/news/business/11977250,“여름을 쾌적하게”…삼성전자 에어컨 사전점검 신청하세요,2026-03-03T15:01:04+09:00,,2026-03-03 15:01,ok
news_20260303_경제_0012,2026-03-03,17:40,경제,mk,https://www.mk.co.kr/news/economy/11977452,변동성 큰 원화값…남미보다 더 흔들렸다,2026-03-03T17:40:41+09:00,,2026-03-03 17:40,ok
news_20260303_종목_0045,2026-03-03,17:50,종목,mk,https://www.mk.co.kr/news/business/11977469,"치솟는 메모리 값에도…""전략폰은 가격동결"" 승부수",2026-03-03T17:50:45+09:00,2026-03-03T19:30:43+09:00,2026-03-03 19:30,ok
news_20260303_종목_0046,2026-03-03,17:59,종목,mk,https://www.mk.co.kr/news/stock/11977515,"코스피 액티브 ETF, 증권·반도체 비중 늘려",2026-03-03T17:59:06+09:00,2026-03-03T19:57:32+09:00,2026-03-03 19:57,ok
news_20260303_경제_0013,2026-03-03,18:04,경제,mk,https://www.mk.co.kr/news/economy/11977547,"금융당국, 중동 피해기업에 13.3조 지원",2026-03-03T18:04:27+09:00,2026-03-04T09:17:31+09:00,2026-03-04 09:17,ok
news_20260303_종목_0047,2026-03-03,18:09,종목,mk,https://www.mk.co.kr/news/stock/11977575,"외국인, 삼전닉스 4.4조 '매도 폭탄'… 방산·정유株는 급등",2026-03-03T18:09:50+09:00,2026-03-04T18:25:32+09:00,2026-03-04 18:25,ok
news_20260303_종목_0048,2026-03-03,18:15,종목,mk,https://www.mk.co.kr/news/stock/11977594,6244→5791…이란發 '검은 화요일',2026-03-03T18:15:00+09:00,2026-03-03T22:57:32+09:00,2026-03-03 22:57,ok
news_20260303_종목_0049,2026-03-03,21:00,종목,mk,https://www.mk.co.kr/news/business/11974654,코스피 ‘6천피’ 시대...‘ETF 열풍’ 투자 저변 넓혔지만,2026-03-03T21:00:00+09:00,2026-03-04T09:32:32+09:00,2026-03-04 09:32,ok
news_20260304_섹터_0021,2026-03-04,08:00,섹터,mk,https://www.mk.co.kr/news/society/11978018,외국인 저임금 막으려…정부 나서 ‘적정임금’ 정한다,2026-03-04T08:00:11+09:00,,2026-03-04 08:00,ok
news_20260304_섹터_0022,2026-03-04,08:02,섹터,mk,https://www.mk.co.kr/news/economy/11978019,[속보] 반도체 줄며 1월 산업생산 1.3%↓…설비투자는 6.8% 급증,2026-03-04T08:02:43+09:00,2026-03-04T08:06:59+09:00,2026-03-04 08:06,ok
news_20260304_섹터_0025,2026-03-04,08:44,섹터,mk,https://www.mk.co.kr/news/it/11978042,"SKT, 글로벌 파트너십으로 AI 데이터센터 효율 높인다",2026-03-04T08:44:40+09:00,,2026-03-04 08:44,ok
news_20260304_섹터_0027,2026-03-04,09:03,섹터,mk,https://www.mk.co.kr/news/world/11978067,‘검은 수요일’ 코스피 3%대 급락…장중 5570선대로 밀려,2026-03-04T09:03:51+09:00,2026-03-04T10:22:11+09:00,2026-03-04 10:22,ok
news_20260304_섹터_0031,2026-03-04,11:01,섹터,mk,https://www.mk.co.kr/news/business/11978107,구광모 LG그룹 회장 “AI 기술 본질은 결국 사람”,2026-03-04T11:01:00+09:00,,2026-03-04 11:01,ok
news_20260304_경제_0004,2026-03-04,11:21,경제,mk,https://www.mk.co.kr/news/economy/11978234,"“천당과 지옥 오갔어요”…주가 요동친 LIG넥스원 [오늘, 이 종목]",2026-03-04T11:21:00+09:00,2026-03-04T16:40:10+09:00,2026-03-04 16:40,ok
news_20260304_경제_0005,2026-03-04,11:24,경제,mk,https://www.mk.co.kr/news/economy/11978262,“가득 채워 주세요” 더 오르기 전에 주유소로 직행…서울 휘발유 1800원 돌파,2026-03-04T11:24:14+09:00,2026-03-04T13:53:16+09:00,2026-03-04 13:53,ok
news_20260304_섹터_0032,2026-03-04,13:16,섹터,mk,https://www.mk.co.kr/news/stock/11978351,"한화운용PLUS “3년 뒤 ETF 순자산 100조원 목표”…K제조업 ETF, 미국에도 상장",2026-03-04T13:16:49+09:00,,2026-03-04 13:16,ok
news_20260304_섹터_0033,2026-03-04,13:25,섹터,mk,https://www.mk.co.kr/news/stock/11978354,"SK하이닉스 산 블랙록, 이수페타시스는 차익실현했다 [매경 자이앤트]",2026-03-04T13:25:39+09:00,,2026-03-04 13:25,ok
news_20260304_섹터_0036,2026-03-04,14:18,섹터,mk,https://www.mk.co.kr/news/business/11978407,“눈이 피로해요”…갤럭시S26 울트라 프라이버시 디스플레이 열광했는데,2026-03-04T14:18:25+09:00,2026-03-04T15:29:36+09:00,2026-03-04 15:29,ok
news_20260304_섹터_0037,2026-03-04,14:20,섹터,mk,https://www.mk.co.kr/news/business/11978411,한미 반도체 배당금 지급 / 창사 최대 규모 760억원,2026-03-04T14:20:59+09:00,,2026-03-04 14:20,ok
news_20260304_경제_0006,2026-03-04,15:01,경제,mk,https://www.mk.co.kr/news/economy/11978460,코스피 급락·커지는 환율 변동성에…금융당국도 대책 마련 고심,2026-03-04T15:01:26+09:00,,2026-03-04 15:01,ok
news_20260304_경제_0007,2026-03-04,15:14,경제,mk,https://www.mk.co.kr/news/economy/11978479,"원달러 환율 1500원 넘길까…한은 “현 상황, 과거와 달라”",2026-03-04T15:14:54+09:00,2026-03-04T15:14:54+09:00,2026-03-04 15:14,ok
news_20260304_섹터_0042,2026-03-04,17:42,섹터,mk,https://www.mk.co.kr/news/business/11978677,AI인재 키우는 구광모…석박과정 전액 지원,2026-03-04T17:42:24+09:00,2026-03-04T19:22:02+09:00,2026-03-04 19:22,ok
news_20260304_종목_0045,2026-03-04,17:42,종목,mk,https://www.mk.co.kr/news/business/11978680,"""일류 되려면 1등기업에 배워야"" 하이닉스 대표, 삼성 칭찬한 이유",2026-03-04T17:42:25+09:00,2026-03-04T19:22:06+09:00,2026-03-04 19:22,ok
news_20260304_종목_0046,2026-03-04,17:44,종목,mk,https://www.mk.co.kr/news/stock/11978685,'코스피 초토화' 버티던 개미들도 탈출 … 삼전 시총 130조 증발,2026-03-04T17:44:37+09:00,2026-03-04T23:06:25+09:00,2026-03-04 23:06,ok
news_20260304_종목_0047,2026-03-04,17:44,종목,mk,https://www.mk.co.kr/news/stock/11978688,반도체 쌍두마차 휘청였지만 … 잘 버티는 소부장주,2026-03-04T17:44:52+09:00,2026-03-04T19:20:59+09:00,2026-03-04 19:20,ok
news_20260304_종목_0048,2026-03-04,17:52,종목,mk,https://www.mk.co.kr/news/stock/11978724,韓증시 사상최대 폭락… 9·11때보다 충격 컸다,2026-03-04T17:52:18+09:00,2026-03-04T19:57:56+09:00,2026-03-04 19:57,ok
news_20260304_경제_0012,2026-03-04,17:53,경제,mk,https://www.mk.co.kr/news/economy/11978732,强달러에 원화값 급락 … 17년 만에 '1500원대' 위기,2026-03-04T17:53:15+09:00,2026-03-04T19:20:19+09:00,2026-03-04 19:20,ok
news_20260304_종목_0052,2026-03-04,21:00,종목,mk,https://www.mk.co.kr/news/business/11974681,‘글로벌 실적왕’ 못 오를 나무 아니다… 삼성전자 ‘영업이익 300조’ 시나리오,2026-03-04T21:00:00+09:00,2026-03-05T10:26:23+09:00,2026-03-05 10:26,ok
news_20260304_경제_0016,2026-03-04,22:59,경제,mk,https://www.mk.co.kr/news/economy/11978989,“한국은 칩한민국 맞네”…반도체 숨 고르자 전산업 생산 석달만에 ‘뚝’,2026-03-04T22:59:47+09:00,2026-03-04T23:50:11+09:00,2026-03-04 23:50,ok
news_20260304_섹터_0044,2026-03-04,23:54,섹터,mk,https://www.mk.co.kr/news/business/11979027,서빙로봇 이어 휴머노이드도 중국산 공습…대학·병원 현장 파고든다,2026-03-04T23:54:59+09:00,2026-03-05T11:39:09+09:00,2026-03-05 11:39,ok
news_20260305_섹터_0023,2026-03-05,07:38,섹터,mk,https://www.mk.co.kr/news/stock/11979226,코스닥 12% 폭락 와중에 신고가...삼전닉스 휘청여도 선전하는 ‘소부장’,2026-03-05T07:38:34+09:00,,2026-03-05 07:38,ok
news_20260305_섹터_0029,2026-03-05,09:52,섹터,mk,https://www.mk.co.kr/news/stock/11979399,"특징주, 삼성전자- 반도체 생산 테마 상승세에 12.6% ↑",2026-03-05T09:52:01+09:00,,2026-03-05 09:52,ok
news_20260305_경제_0004,2026-03-05,09:55,경제,mk,https://www.mk.co.kr/news/economy/11979407,"온투업 PFCT, 금융시스템 전문 IT기업 ‘엔투소프트’ 인수",2026-03-05T09:55:33+09:00,,2026-03-05 09:55,ok
news_20260305_섹터_0030,2026-03-05,10:07,섹터,mk,https://www.mk.co.kr/news/stock/11979416,"“어제 그제는 정말 나락가는 줄”…삼성전자·SK하이닉스, 14% 급반등",2026-03-05T10:07:53+09:00,,2026-03-05 10:07,ok
news_20260305_섹터_0034,2026-03-05,10:23,섹터,mk,https://www.mk.co.kr/news/economy/11979449,쿠팡Inc “2년 연속 글로벌 100대 혁신기업 선정…특허 10년간 43배 늘어”,2026-03-05T10:23:16+09:00,,2026-03-05 10:23,ok
news_20260305_섹터_0035,2026-03-05,10:34,섹터,mk,https://www.mk.co.kr/news/economy/11979465,용인 수지 국평이 17억…서울 집값 부담에 ‘경기 러시’,2026-03-05T10:34:37+09:00,2026-03-05T10:34:37+09:00,2026-03-05 10:34,ok
news_20260305_섹터_0036,2026-03-05,10:41,섹터,mk,https://www.mk.co.kr/news/stock/11979479,"AJ네트웍스, `기대되는 2026년` 증권사 발표에 강세",2026-03-05T10:41:42+09:00,,2026-03-05 10:41,ok
news_20260305_경제_0006,2026-03-05,10:44,경제,mk,https://www.mk.co.kr/news/economy/11979483,"신한은행, 軍간부 대출 금리 깎아주고 적금 이자 더 준다",2026-03-05T10:44:39+09:00,,2026-03-05 10:44,ok
news_20260305_섹터_0037,2026-03-05,11:00,섹터,mk,https://www.mk.co.kr/news/business/11979498,"삼성 ‘갤럭시 S26 울트라’, MWC 2026서 ‘최고 전시 제품상’ 수상",2026-03-05T11:00:54+09:00,,2026-03-05 11:00,ok
news_20260305_섹터_0040,2026-03-05,11:20,섹터,mk,https://www.mk.co.kr/news/business/11979524,"“가습기는 포기해도 제습기는 계속”…삼성전자, 2026년형 인버터 제습기 출시",2026-03-05T11:20:28+09:00,,2026-03-05 11:20,ok
news_20260305_경제_0007,2026-03-05,13:16,경제,mk,https://www.mk.co.kr/news/economy/11979582,“중동 전쟁 터지자 마자 치솟았다”…전국 휘발유 1800원 돌파,2026-03-05T13:16:25+09:00,2026-03-05T13:32:58+09:00,2026-03-05 13:32,ok
news_20260305_종목_0047,2026-03-05,16:00,종목,mk,https://www.mk.co.kr/news/economy/11979776,"급락 증시, 삼전닉스 어디로 … 반도체 기대감 여전 [빅데이터로 본 재테크]",2026-03-05T16:00:43+09:00,,2026-03-05 16:00,ok
news_20260305_종목_0048,2026-03-05,17:41,종목,mk,https://www.mk.co.kr/news/it/11979944,"""6G 네트워크 선점"" 글로벌 통신사 합종연횡",2026-03-05T17:41:26+09:00,2026-03-05T19:11:12+09:00,2026-03-05 19:11,ok
news_20260305_종목_0049,2026-03-05,17:50,종목,mk,https://www.mk.co.kr/news/stock/11979981,수직 급등락에 올들어 6번째 사이드카 … 역대급 '롤러코스피',2026-03-05T17:50:49+09:00,,2026-03-05 17:50,ok
news_20260305_섹터_0043,2026-03-05,17:51,섹터,mk,https://www.mk.co.kr/news/business/11979994,[포토] 스피커 위치 바꿔도 최적의 입체음향,2026-03-05T17:51:36+09:00,2026-03-05T19:52:58+09:00,2026-03-05 19:52,ok
news_20260305_종목_0050,2026-03-05,17:51,종목,mk,https://www.mk.co.kr/news/business/11979989,美 'AI심장부'서 젠슨황·최태원 만나 … HBM 판 키운다,2026-03-05T17:51:33+09:00,2026-03-05T19:52:44+09:00,2026-03-05 19:52,ok
news_20260305_경제_0017,2026-03-05,20:16,경제,mk,https://www.mk.co.kr/news/economy/11980118,이 대통령 “하루만에 200원 올린 주유소도”…전쟁 틈탄 폭리 정조준,2026-03-05T20:16:21+09:00,2026-03-05T20:20:04+09:00,2026-03-05 20:20,ok
news_20260305_섹터_0046,2026-03-05,23:40,섹터,mk,https://www.mk.co.kr/news/business/11980308,"코닝, ‘단열의 민족’ 한국 창호 유리 시장 공략",2026-03-05T23:40:04+09:00,2026-03-06T13:20:17+09:00,2026-03-06 13:20,ok
news_20260306_경제_0004,2026-03-06,06:31,경제,mk,https://www.mk.co.kr/news/economy/11980472,JP모건 “美 금리인하 사이클 종료”…유가 충격에 물가 불확실성↑,2026-03-06T06:31:33+09:00,,2026-03-06 06:31,ok
news_20260306_섹터_0020,2026-03-06,08:29,섹터,mk,https://www.mk.co.kr/news/stock/11980559,"“한화비전, 반도체 장비 수주 본격화”…키움증권, 목표가 상향 [오늘 나온 보고서]",2026-03-06T08:29:22+09:00,2026-03-06T09:23:38+09:00,2026-03-06 09:23,ok
news_20260306_경제_0006,2026-03-06,08:59,경제,mk,https://www.mk.co.kr/news/economy/11980584,[속보] 이대통령 “기름값 담합은 대국민 중대범죄…악덕기업들 깨우칠 것”,2026-03-06T08:59:59+09:00,2026-03-06T09:14:31+09:00,2026-03-06 09:14,ok
news_20260306_섹터_0021,2026-03-06,09:35,섹터,mk,https://www.mk.co.kr/news/stock/11980656,"특징주, 유니테스트-우주태양광(페로브스카이트 등) 테마 상승세에 4.85% ↑",2026-03-06T09:35:16+09:00,,2026-03-06 09:35,ok
news_20260306_섹터_0026,2026-03-06,10:38,섹터,mk,https://www.mk.co.kr/news/stock/11980733,"한화비전 ` 반도체 장비 수주 본격화, 고객 다변화 성공` 증권사 발표에 강세…3.96%",2026-03-06T10:38:17+09:00,,2026-03-06 10:38,ok
news_20260306_섹터_0027,2026-03-06,11:22,섹터,mk,https://www.mk.co.kr/news/business/11980790,“10만원 더 비싸도 무조건 산다”…이통사 휩쓴 갤럭시S26 울트라,2026-03-06T11:22:28+09:00,,2026-03-06 11:22,ok
news_20260306_경제_0007,2026-03-06,12:08,경제,mk,https://www.mk.co.kr/news/economy/11980831,"국세청 “연말정산 환급금, 최대한 앞당겨 3월내 지급”",2026-03-06T12:08:08+09:00,,2026-03-06 12:08,ok
news_20260306_종목_0039,2026-03-06,14:35,종목,mk,https://www.mk.co.kr/news/economy/11980918,자사주 소각: 체크 포인트 [스페셜 리포트],2026-03-06T14:35:45+09:00,2026-03-11T16:39:22+09:00,2026-03-11 16:39,ok
news_20260306_종목_0040,2026-03-06,14:37,종목,mk,https://www.mk.co.kr/news/economy/11980927,이젠 우리 차례 ‘소부장’도 뛴다...전공정 장비→부품·소재로 온기,2026-03-06T14:37:12+09:00,2026-03-13T18:31:11+09:00,2026-03-13 18:31,ok
news_20260306_종목_0042,2026-03-06,14:37,종목,mk,https://www.mk.co.kr/news/economy/11980929,반도체 ‘램마겟돈’ 시나리오 톺아보니,2026-03-06T14:37:47+09:00,2026-03-12T21:58:31+09:00,2026-03-12 21:58,ok
news_20260306_종목_0044,2026-03-06,14:39,종목,mk,https://www.mk.co.kr/news/business/11980934,‘이란 사태’ 이후 폭락했던 韓 증시 ‘패닉셀’이었나…주도주 매수 기회?,2026-03-06T14:39:09+09:00,2026-03-10T11:51:01+09:00,2026-03-10 11:51,ok
news_20260306_종목_0045,2026-03-06,14:42,종목,mk,https://www.mk.co.kr/news/columnists/11980945,‘글로벌 실적왕’ 꿈꾸는 삼성전자 [편집장 레터],2026-03-06T14:42:35+09:00,2026-03-31T15:34:26+09:00,2026-03-31 15:34,ok
news_20260306_경제_0008,2026-03-06,15:11,경제,mk,https://www.mk.co.kr/news/economy/11980978,“기름 넣다 눈물 났어요”…서울 주유소 기름값 1900원대 돌파,2026-03-06T15:11:02+09:00,2026-03-06T15:13:12+09:00,2026-03-06 15:13,ok
news_20260306_섹터_0037,2026-03-06,15:41,섹터,mk,https://www.mk.co.kr/news/business/11981005,"“지금 사도 빨라야 이달 25일 받는다고?”…삼성, 로봇청소기 주도권 쥐나",2026-03-06T15:41:40+09:00,,2026-03-06 15:41,ok
news_20260306_경제_0009,2026-03-06,16:59,경제,mk,https://www.mk.co.kr/news/economy/11981068,27일부터 통합돌봄 30종 서비스 지원…2030년까지 두배로,2026-03-06T16:59:22+09:00,,2026-03-06 16:59,ok
news_20260306_종목_0046,2026-03-06,17:38,종목,mk,https://www.mk.co.kr/news/it/11981124,갤럭시 S26 사전판매 135만대 … S시리즈 역대 최다,2026-03-06T17:38:54+09:00,2026-03-06T18:07:23+09:00,2026-03-06 18:07,ok
news_20260306_경제_0010,2026-03-06,17:41,경제,mk,https://www.mk.co.kr/news/economy/11981137,물가 자극할라…유가관리 총력,2026-03-06T17:41:11+09:00,,2026-03-06 17:41,ok
news_20260306_경제_0013,2026-03-06,17:52,경제,mk,https://www.mk.co.kr/news/economy/11981182,1월 경상수지 132.6억弗…33개월 연속 흑자 신기록,2026-03-06T17:52:37+09:00,,2026-03-06 17:52,ok
news_20260306_종목_0047,2026-03-06,17:52,종목,mk,https://www.mk.co.kr/news/economy/11981191,"低생산성·산업경쟁력 약화·원화약세 … 韓, 4만弗 엔진 식었다",2026-03-06T17:52:55+09:00,2026-03-06T19:19:33+09:00,2026-03-06 19:19,ok
news_20260306_경제_0015,2026-03-06,18:53,경제,mk,https://www.mk.co.kr/news/economy/11981221,호르무즈 통과하는 유조선 ‘0’…“유가 배럴당 150달러” 전망까지,2026-03-06T18:53:19+09:00,,2026-03-06 18:53,ok
news_20260309_섹터_0018,2026-03-09,06:21,섹터,mk,https://www.mk.co.kr/news/business/11982270,"“반도체 호황 최대 리스크, 버블론 아닌 이것”…노조 리스크 커진 삼성전자",2026-03-09T06:21:55+09:00,,2026-03-09 06:21,ok
news_20260309_섹터_0019,2026-03-09,06:25,섹터,mk,https://www.mk.co.kr/news/economy/11982271,"“주식계좌 -50%, 3년 버틸 수 있나요?”...안 되면 몰빵하지 말라는 고수",2026-03-09T06:25:47+09:00,2026-03-09T08:19:45+09:00,2026-03-09 08:19,ok
news_20260309_경제_0002,2026-03-09,07:37,경제,mk,https://www.mk.co.kr/news/economy/11982285,[속보] 유가 100달러 돌파...4년만에 다시 오일쇼크,2026-03-09T07:37:36+09:00,2026-03-09T07:40:15+09:00,2026-03-09 07:40,ok
news_20260309_섹터_0021,2026-03-09,09:25,섹터,mk,https://www.mk.co.kr/news/stock/11982360,"‘코스닥 데뷔’ 액스비스, 폭락장 속 ‘따따블’ 달성",2026-03-09T09:25:45+09:00,,2026-03-09 09:25,ok
news_20260309_경제_0005,2026-03-09,09:27,경제,mk,https://www.mk.co.kr/news/economy/11982363,“아파트 못사면 이거라도”…대출 규제 풍선효과에 오피스텔 거래 증가,2026-03-09T09:27:36+09:00,,2026-03-09 09:27,ok
news_20260309_섹터_0025,2026-03-09,10:29,섹터,mk,https://www.mk.co.kr/news/stock/11982432,“ 반도체 株 세일한다”…삼전·하닉 8% 하락에 저가 매수 이어져 [주식 초고수는 지금],2026-03-09T10:29:01+09:00,,2026-03-09 10:29,ok
news_20260309_섹터_0026,2026-03-09,11:12,섹터,mk,https://www.mk.co.kr/news/stock/11982498,오리온홀딩스 `검은 반도체 를 손에 쥐다` 증권사 발표에 강세…3.28%,2026-03-09T11:12:21+09:00,,2026-03-09 11:12,ok
