cluster,rank,doc_type,date,text,label
1,1,news,2026-03-17,"특징주, 삼성전자-반도체 생산 테마 상승세에 4.7% ↑ - 매일경제
17일 반도체 생산 테마가 전일 대비 3.31% 상승하면서 강세를 보이는 가운데 관련주로 주목받고 있는 삼성전자(005930)가 전일 대비 4. 7% 상승하며 급등하고 있다. ◆반도체 생산 테마 강한 상승세로 반전 +3.87억원 순매도 지난 5일간 큰 폭으로 하락했던 반도체 생산 테마가 ",
1,2,news,2026-03-17,"특징주, 서울반도체-마이크로 LED 테마 상승세에 14.98% ↑ - 매일경제
17일 마이크로 LED 테마가 전일 대비 3.33% 상승하면서 강세를 보이는 가운데 관련주로 주목받고 있는 서울반도체(046890)가 전일 대비 14.98% 상승하며 급등하고 있다. 서울반도체는 세계적인 LED 전문기업으로 알려져 있다. 상승폭으로는 서울반도체가 13.",
1,3,news,2026-04-07,"특징주, 서울반도체-마이크로 LED 테마 상승세에 16.97% ↑ - 매일경제
07일 마이크로 LED 테마가 전일 대비 4.24% 상승하면서 강세를 보이는 가운데 관련주로 주목받고 있는 서울반도체(046890)가 전일 대비 16.97% 상승하며 급등하고 있다. 서울반도체는 세계적인 LED 전문기업으로 알려져 있다. 상승폭으로는 서울반도체가 12.",
1,4,news,2026-04-15,"특징주, 삼성전기-MLCC 테마 상승세에 4.73% ↑ - 매일경제
15일 MLCC 테마가 전일 대비 3.06% 상승하면서 강세를 보이는 가운데 관련주로 주목받고 있는 삼성전기(009150)가 전일 대비 4.73% 상승하며 급등하고 있다. ◆MLCC 테마 강한 상승세 회복 +3.06% 상승하고 있다.",
1,5,news,2026-04-14,"특징주, 서울반도체-마이크로 LED 테마 상승세에 7.73% ↑ - 매일경제
22% 상승하면서 강세를 보이는 가운데 관련주로 주목받고 있는 서울반도체(046890)가 전일 대비 7.73% 상승하며 급등하고 있다. 서울반도체는 세계적인 LED 전문기업으로 알려져 있다. ◆마이크로 LED 테마 강한 상승세 회복 +3. 상승폭으로는 서울반도체가 6.",
1,6,news,2026-04-10,"특징주, 삼성전기-아이폰 테마 상승세에 2.64% ↑ - 매일경제
36% 상승하면서 강세를 보이는 가운데 관련주로 주목받고 있는 삼성전기(009150)가 전일 대비 2.64% 상승하며 급등하고 있다. ◆아이폰 테마 강한 상승세 회복 +3. 이 기간 동안 외국인이 테마 상승을 주도하며 관련 종목을 36,603. 상승폭으로는 아이티엠반도체가 21.",
1,7,news,2026-03-25,"특징주, 삼성전기-아이폰 테마 상승세에 5.03% ↑ - 매일경제
25일 아이폰 테마가 전일 대비 3.54% 상승하면서 강세를 보이는 가운데 관련주로 주목받고 있는 삼성전기(009150)가 전일 대비 5.03% 상승하며 급등하고 있다. ◆아이폰 테마 강한 상승세 회복 +3. 5%) 등이 상승 주도 이 시각 현재 반도체 재료/부품 테마 내의 종목들이 전반적으",
1,8,news,2026-04-14,"특징주, 삼성전기-MLCC 테마 상승세에 4.7% ↑ - 매일경제
14일 MLCC 테마가 전일 대비 3.06% 상승하면서 강세를 보이는 가운데 관련주로 주목받고 있는 삼성전기(009150)가 전일 대비 4. 7% 상승하며 급등하고 있다. ◆MLCC 테마 강한 상승세 회복 +3.06% 상승하고 있다. 이 기간 동안 기관이 테마 상승을 주도하며 관련 종목을 7",
1,9,news,2026-04-14,"특징주, 사피엔반도체-마이크로 LED 테마 상승세에 3.64% ↑ - 매일경제
14일 마이크로 LED 테마가 전일 대비 3.22% 상승하면서 강세를 보이는 가운데 관련주로 주목받고 있는 사피엔반도체(452430)가 전일 대비 3.64% 상승하며 급등하고 있다. ◆마이크로 LED 테마 강한 상승세 회복 +3. 상승폭으로는 서울반도체가 6.22% 최근 5일 외",
1,10,news,2026-04-14,"특징주, 라온텍-마이크로 LED 테마 상승세에 2.05% ↑ - 매일경제
14일 마이크로 LED 테마가 전일 대비 3.22% 상승하면서 강세를 보이는 가운데 관련주로 주목받고 있는 라온텍(418420)이 전일 대비 2.05% 상승하며 급등하고 있다. ◆마이크로 LED 테마 강한 상승세 회복 +3. 상승폭으로는 서울반도체가 6.22% 최근 5일 외국인 26,",
2,1,post,2026-03-30,"시장 공포 속, HBM4 펀더멘털 믿고 다시 매수했습니다.
오늘 장 마감 직전, 외국인과 기관이 쌍끌이로 팔아치우며 시장 심리가 극도로 위축된 모습을 보았습니다. 유가 폭등과 전쟁 리스크라는 거시 악재들이 AI 호재를 압도하는 듯해 당황스러웠죠. 하지만 저는 여전히 삼성전자에 대한 장기적인 믿음은 변함이 없습니다. 특히 HBM4 양산 등 핵심 펀더멘털이 견",
2,2,post,2026-03-03,"저평가 구간에서 다시 한 번 매수했습니다 (195,100원)
오늘 장 마감 직후 19 만 5 천 100 원에 66 주를 추가 매수했어요. 최근 두 차례 매수 후 가격이 급락하며 평가손실이 발생해 마음이 쓰였지만, AI 슈퍼사이클과 메모리 가격 상승이라는 중장기 모멘텀은 여전히 유효하다고 봅니다. 지정학적 리스크로 외국인 매도 압력이 있더라도 현재 밸류에이션",
2,3,post,2026-03-06,"단기적 하락은 저평가 매수 기회라고 믿습니다
오늘 장 마감 직후 삼성전자 주식을 20주 더 매수했습니다. 최근 외국인·기관들의 쌍끌이 매도로 주가가 흔들리지만, 메모리 가격 폭등과 AI 스마트폰 수요 증가로 내재가치는 여전히 매력적인 저평가 구간이라고 봅니다. 유가 상승 등 거시 리스크가 있긴 하지만, D램과 HBM 호황으로 반도체 업황은 뚜렷한 호전 국면",
2,4,post,2026-03-30,"급락 후 반등 시점 잡았습니다. HBM4 기대감으로 다시 진입
오늘 장 마감 직전, 하락세를 보이다가 어느 정도 하방 경직성이 확인되는 구간에서 삼성전자 100주를 매수했습니다. 거시 악재로 인해 외국인·기관이 팔아치우며 시장 심리가 위축되었지만, 터보퀀트 악재설이 반박되고 HBM4 양산 호재가 있다는 점이 마음에 걸렸습니다. 과거처럼 초고수들의 동향만 쫓",
2,5,post,2026-02-27,"외국인 매도세에 흔들리지 않고 다시 진입했습니다.
오늘 장 마감 후 정리해 보니 외국인들이 대량으로 팔아치우는 모습이 보여서 심장이 덜컥했죠. 특히 엔비디아 급락 소식까지 겹쳐서 단기 조정 우려가 커지는데, 저는 여전히 메모리 슈퍼사이클과 PER 10 배 초반의 매력적인 밸류에이션을 믿고 오늘 21 만 6 천 원 선에서 추가로 50 주를 매수했습니다.

전",
2,6,post,2026-03-13,"공포의 장에서 다시 한 번 차분하게 매수했습니다.
오늘 삼성전자는 외국인 매도세와 지정학적 리스크로 인해 시장 전체가 공포 모드인 듯합니다. 저 역시 최근 몇 차례 추가 매수 시점의 타이밍을 놓쳐 손실을 본 적이 있어 더 신중해야겠다고 다짐했죠.

하지만 오늘 장 마감 후 확인한 장기 관점을 보면, 메모리 반도체 가격 상승 기대감이 하방을 제한하고 있으며 ",
2,7,post,2026-03-11,"외국인 매도세에도 AI 모멘텀 믿고 조금 더 모았습니다
오늘 장 마감 후 다시 생각해보니, 외국인들이 팔아치우는 동안 개인들은 여전히 낙관적인 분위기가군요. HBM4 수요와 반도체 업황 호조는 중장기적으로 분명히 유효한 테마인데, 단기 등락에 일희일비하기엔 아직 이르다고 봅니다. 과거 매도 후 급등했던 경험 때문에 손절 타이밍이 너무 빨랐던 게 아쉽지만, ",
2,8,post,2026-03-06,"외국인 매도세 속에서도 저평가 구간은 놓칠 수 없죠. 오늘 다시 샀어요.
오늘 장이 끝나고 보니 외국인·기관들이 쌍끌이로 팔아치우는데 시장 심리가 좀 위축되네요. 하지만 저는 메모리 가격 폭등과 HBM 수요 증가로 인한 실적 턴어라운드 기대감이 훨씬 중요하다고 봅니다. 현재 주가는 내재가치 대비 충분히 저평가된 구간이라고 생각해서, 단기 조정을 기회로 삼아",
2,9,post,2026-03-25,"AI 반등 모멘텀에 맞춰 다시 진입했습니다 (삼성전자)
오늘 장 마감 직전, 반도체와 AI 수요 호재로 단기 반등이 형성되었다는 판단에 따라 삼성전자 매수에 나섰습니다. 최근 하락장에서 손절 라인 설정 없이 과신했던 타이밍 감각을 반성하며, 이번에는 명확한 상승 신호가 들어올 때까지 기다렸다가 진입했습니다.

외국인과 기관의 매수세 유입으로 시장 심리가 다",
2,10,post,2026-02-27,"엔비디아 급락에도 불구하고 저평가 매수, 장기적 관점에서 한 번 더 도전합니다.
오늘 장 마감 후 다시 생각해보니, 엔비디아 급락과 스마트폰 수요 둔화 우려로 시장이 혼란스러워진 게 오히려 좋은 진입 기회였던 것 같아요. PER 10 배 초반이라는 밸류에이션은 여전히 매력적이고, AI 슈퍼사이클의 장기 모멘텀은 변함없다고 봅니다. 어제 첫 매수로 3% 이상",
3,1,post,2026-03-17,"반도체 테마 상승세에 매도 타이밍 잘 잡았습니다!
오늘 삼성전자 장 마감 후 정리했습니다. 최근 반도체 업황 호조와 모멘텀 추세가 강해지면서 주가가 빠르게 반등했죠. 과거에는 내재가치 중심으로 신중하게 접근했지만, 이제는 시장 심리와 흐름을 더 중요하게 생각해야겠다고 느꼈습니다.

오늘은 수익이 나자마자 1000주를 손절 없이 확실히 팔아버렸습니다. 저평가",
3,2,post,2026-03-27,"초고수 매도세 속, 저평가 구간에서 조금 더 모았습니다
오늘 장 마감 후 다시 한 번 삼성전자 주식을 사들였습니다. 최근 초고수들의 대량 매도와 경기 우려로 단기 하방 압력이 확실히 느껴지지만, 반도체 수출 호조와 AI 기대감 덕분에 하락이 제한되고 있다는 점이 위안입니다.

밸류에이션 측면에서는 일시적으로 매력도가 낮아 보일 수 있으나, 실적 기반 내재가",
3,3,post,2026-03-03,"저평가 구간에서 분산 매수... 타이밍은 어렵지만 장기 믿습니다.
오늘 장 마감 후 다시 한 번 삼성전자를 매수했습니다. 최근 두 차례 매수 시도 모두 진입 직후 가격이 떨어지며 평가손실을 기록하긴 했지만, 저는 이 구간이 역사적 저평가라는 믿음으로 분산 매수를 이어가고 있습니다.

반도체 업황 회복과 메모리 가격 상승 기대감이 중장기 모멘텀을 만들고 있다",
3,4,post,2026-03-11,"퐁당장 속에서 다시 한 번 매수했습니다. (삼성전자)
오늘 장 마감 직전, 삼성전자 주가가 흔들리는 모습을 보며 다시 매수에 나섰습니다. 외국인들의 매도세와 원유 가격 상승 우려 등 불확실성이 공존하지만, 반도체 수출 호조와 AI 동맹이라는 확실한 업황 개선 신호는 변함없다고 봅니다.

최근 몇 차례의 매매에서 진입과 청산 타이밍이 잘 맞았던 점이 도움이 ",
3,5,post,2026-05-04,"다시 한 번 매수했습니다. 저평가 구간이라고 믿습니다.
오늘 장 마감 직전 삼성전자를 추가로 매수했습니다. 최근 AI 반도체 수요와 실적 호조로 상승 모멘텀이 강력하지만, 노조 리스크나 중동 정세 등 거시적 불확실성으로 단기 변동성은 있을 것 같습니다. 하지만 저는 여전히 밸류에이션이 저평가 구간이며, 급등세에도 내재가치 대비 적정 수준으로 접근했다고 판단",
3,6,post,2026-03-05,"저평가 구간에서 차분히 매수 완료했습니다. (삼성전자)
오늘 장 마감 직전, 반도체 업황 개선과 글로벌 시장 반등 모멘텀을 확인하고 삼성전자 주식을 매수했습니다. 최근 급락 후 밸류에이션이 매력적인 저평가 구간으로 판단되어 가치투자 관점에서 진입 타이밍을 잡았습니다.

특히 AI 수요와 생산 테마가 살아나고 있지만, 거시 경제의 하방 압력이나 지정학적 리스",
3,7,post,2026-03-17,"반도체 강세 따라 매수했습니다만, 고점 진입은 조심해야겠네요.
오늘 장 마감 전 삼성전자 30주를 추가 매수했습니다. 코스피가 5700선을 회복하고 반도체 테마가 다시 살아나면서 흐름이 좋았거든요. 그런데 최근 제가 몇 번 고점에서 매수했다가 바로 손실을 본 적이 있어서, 이번에도 무조건 추종하기보다는 실체적인 추세 확인을 먼저 해야겠다는 생각이 들었습니다",
3,8,post,2026-03-19,"조정 때 다시 모았습니다. 장기 관점에서는 지금이 괜찮은 가격 같아요.
오늘 장 마감하고 보니 외국인과 기관들이 팔아치우는 바람에 시장 분위기가 좀 침체되었네요. 저도 어제까지 주가가 오를까 봐 걱정했는데, 오늘 유가 급등과 원화 약세 우려로 조정 국면이 왔을 때 제가 가진 현금으로 50주를 추가 매수했습니다.

최근에는 매수 타이밍은 좋았지만, 매도 타이",
3,9,post,2026-03-05,"반도체 모멘텀에, 내재가치 믿고 30주 추가 매수했습니다.
오늘 장 마감 직전 삼성전자 19만 1천6백 원에 30주를 더 샀습니다. 최근 지정학적 리스크나 노사 갈등 같은 하방 요인도 있었지만, 반도체 섹터의 강력한 모멘텀과 경쟁사인 SK하이닉스의 칭찬, 증권사의 긍정적 평가까지 겹치며 단기 반등이 지속될 것 같아 결심했습니다. 급락 후 반등 국면에서도 밸",
3,10,post,2026-03-25,"삼성전자 매수 완료... 진입 타이밍이 살짝 아쉽네요.
오늘 장 마감 직후 삼성전자 100주를 매수했습니다. AI 수요와 시장 반등 모멘텀이 주가를 지지하는 건 맞는데, 노사 갈등과 내수 위축 같은 하방 리스크도 공존하니까 중립적 상승 관점으로 접근했어요.

밸류에이션 지표가 명확하지 않아 신중하게 접근했는데, 막상 매수하니 진입 시점이 -0.37%로 살짝",
4,1,post,2026-04-13,"공포의 장, 초고수들이 사는데 저도 저점 매수했습니다 (삼성전자)
오늘 시장이 지정학적 리스크로 공포에 떨던 중, 오히려 '초고수'들과 기관들이 삼성전자를 집중 매수했다는 뉴스가 들어와 마음을 다잡았습니다. 주가가 하락하며 밸류에이션이 매력적으로 조정된 지금이야말로 내재가치 관점에서 접근할 기회라고 생각했죠.

저도 오늘 40주를 201,000원에 추가 매",
4,2,post,2026-04-13,"전쟁 공포 속에서도 '초고수'들이 모이는 곳, 삼성전자를 더 샀습니다.
오늘 장 마감 후 다시 한번 생각해보니, 지정학적 리스크로 시장이 출렁일 때 오히려 대장주의 하방 경직성이 뚜렷하더라고요. 뉴스에서는 중동 사태와 에너지 우려가 나오지만, 반도체 수출은 역대 최고라니 업황은 여전히 강력합니다.

특히 주가가 떨어질 때 '초고수'들과 기관들의 순매수가 이",
4,3,post,2026-04-13,"공포의 바닥에서 초고수들 따라 들어갔습니다 (삼성전자)
오늘 장 마감 직후 삼성전자를 좀 더 매수했습니다. 지정학적 리스크로 시장이 공포에 질려 있는데, 오히려 초고수들이 저점 매수에 나섰다는 뉴스와 수출 호조 데이터를 보고 '역발상'을 해봤어요. 밸류에이션도 매력적으로 조정된 상태라 고위험 고수익 성향인 저로서는 공격적인 기회가 맞다고 판단했죠.

지난번",
4,4,post,2026-03-23,"초고수들의 매수세 따라 잡았어요. 이번엔 타이밍을 더 신중히!
오늘 삼성전자 장 마감 후 기록합니다. 초고수들이 적극 매수하는 모습을 보며 중장기 상승 모멘텀은 유효하다고 판단했습니다. 반도체 수출 호조와 밸류에이션 매력도 무시할 수 없죠.

다만, 지정학적 리스크와 거시경제 불확실성으로 단기 등락이 교차할 것 같아 무리하게 한 번에 진입하기보다는 분할 매",
4,5,post,2026-03-27,"초고수들 매도세 속에서 반대로 잡았습니다. (삼성전자)
오늘 장 마감 직전 초고수들의 삼성전자 매도세가 심상치 않다는 뉴스들을 보고 마음이 흔들렸어요. 하지만 반도체 수출 호조라는 내재가치는 여전한데다, 현재 주가는 밸류에이션 부담이 있더라도 적정 구간이라고 판단했거든요.

기술적 돌파 신호가 명확하지 않아 관망 모드를 유지하려 했으나, 최근 매수 타이밍을",
4,6,post,2026-04-13,"지정학적 리스크 속, '초고수'들이 모인 저점 매수
오늘 장 마감 후 정리하며 다시 한번 생각나는 게 있네요. 중동 정세 불안으로 시장이 흔들릴 때 오히려 삼성전자는 반도체 수출 호조와 초고수들의 역매수로 버티는 모습을 보여줬습니다. 저는 오늘 주가가 내재가치 대비 매력적으로 조정된 구간이라 판단해, 조금 더 확신을 가지고 매수를 단행했습니다.

노조 성과",
4,7,post,2026-03-09,"지정학적 리스크에 흔들리지 않는 저평가 기회, 오늘 다시 매수했습니다.
오늘 장 마감 후 다시 한번 생각해보니, 유가 폭등과 전쟁 리스크로 인한 시장 공포는 반도체 업황 악화가 아니라 차익실현 성격이 강하다는 생각이 듭니다. 과거 고가에서 타이밍 실수로 큰 손실을 본 적이 있지만, 이번에는 내재가치 대비 현저히 저평가된 구간을 포착했다고 믿습니다.

특히 ",
4,8,post,2026-04-13,"저점 매수 성공! 초고수들 따라 삼성전자 다시 사봤습니다.
오늘 장 마감 직전, 기술적 지지선에서 반등 신호를 확인하고 삼성전자 100주를 추가 매수했습니다. 지정학적 리스크로 시장이 흔들리지만, 반도체 수출 호조와 초고수들의 저점 매수 행보를 보며 방어적 반등이 올 거라 판단했거든요. 최근 t060 매도로 피크를 피하고 t061 매수로 손실을 최소화한 경",
4,9,post,2026-04-13,"지정학적 공포 속 초고수들의 매수 따라 삼성전자를 잡았습니다
오늘 장 마감 후 정리하며 다시 한번 확인했습니다. 중동 사태로 시장이 흔들리고 있지만, 반도체 수출액 역대 최고라는 호재와 함께 '초고수들'이 저점에서 집중 매수하고 있다는 뉴스가 눈에 띄었어요. 기술적 돌파 신호를 기다리던 차에 하방 경직성이 확인되는 모습에, 이번 하락을 저평가 구간으로 보고",
4,10,post,2026-04-13,"지정학적 악재 속 초고수들 따라 삼성전자를 잡았습니다.
오늘 장 마감 후 한숨 돌립니다. 중동 사태 등 지정학적 악재로 시장이 급락했지만, 반도체 수출 호조와 초고수들의 저점 매수 세력을 보며 '이건 방어적 매수 구간'이라고 판단했습니다. 특히 뉴스에서 언급된 전문가들의 집중 매수가 대중의 공포와 다른 흐름을 보여줘서 감당하기 어렵지 않게 진입했습니다.

",
5,1,post,2026-04-27,"반도체 업황 호조와 시장 최고치, 삼성전자 매수 완료!
오늘 장 마감 직전 삼성전자 주식을 좀 더 챙겼습니다. 코스피 사상 최고치 경신과 반도체 업황 개선 뉴스가 너무 좋았거든요. 예전에는 노조나 중동 리스크 때문에 두려워해서 매수를 미루곤 했는데, 이번엔 인텔 실적 호조와 종전 협상 기대감으로 분위기가 완전히 달라졌어요. 특히 하락 국면에서 방어적으로 진",
5,2,post,2026-03-05,"드디어 매수! 이번엔 놓치지 않겠습니다.
오늘 장 마감 직전 삼성전자에 100주를 매수했습니다. 어제 손절하고 급등하는 모습을 보며 뒤늦게 후회했던 기억이 생생한데, 오늘 장중 11% 급등과 매수 사이드카 발동으로 시장 분위기가 완전히 달라졌거든요. 기술적 돌파 신호가 나왔고, 증권사들도 매수를 권유하니 더 이상 기다릴 수 없었어요.

반도체 업황 회복 기",
5,3,post,2026-04-06,"드디어 추세를 타고 진입! 삼성전자가 다시 뜨겁네요.
오늘 장 마감 후 정리하다가 생각보다 좋은 타이밍에 진입한 것 같아 기분이 좋습니다. 초고수들 매수 리스트에 오르고 증권사 목표가도 상향되면서 흐름이 명확해졌더라고요. 과거에는 추세 전환 시점을 놓쳐서 후회했던 기억이 있는데, 이번엔 과감하게 따라타기로 결심하고 오늘 매수했습니다.

기술적 지표와 거래량",
5,4,post,2026-04-21,"최고치 돌파! 오늘 삼성전자로 추가 매수했습니다.
오늘 장 마감 직전 코스피 사상 최고치를 경신하는 모습을 보며 감격스러웠습니다. 외국인들과 기관의 강력한 매수세가 주가를 밀어 올렸는데, 개인들 사이에서는 차익 실현 분위기가 좀 섞여 있네요. 그래도 AI 수요와 반도체 수출 호조라는 근본적인 흐름은 변하지 않는다고 봅니다.

저는 오늘 기술적 돌파 신호를 ",
5,5,post,2026-04-10,"중동 휴전 기대감에 삼성전기도 함께 뛰네요! 오늘 매수 완료
오늘 장 마감 직전까지 관망하다가, 중동 휴전 합의 소문과 테마주들의 동반 상승으로 분위기가 완전히 달라졌습니다. 기술적 돌파 신호도 명확해져서 드디어 추세를 따라가기로 했어요.

삼성전자 주가가 20 만 6 천 원 선에서 매수가 들어갔습니다. 직접적인 호재 뉴스는 없어도 관련 부품사들이 강하게 ",
5,6,post,2026-04-27,"코스피 사상 최고치 돌파! 삼성전자는 다시 매수했습니다.
오늘 장 마감 후 생각해보니, 인텔 실적 호조와 중국 GDP 성장률 초과 달성 등 반도체 섹터 전반에 긍정적인 신호들이 많아졌습니다. 시장 심리가 매우 낙관적으로 돌아섰고 기술주 중심의 매수세가 강하게 작용하고 있네요.

과거에는 노조 파업이나 거시경제 불확실성 때문에 주가가 눌릴 때를 기다렸지만, ",
5,7,post,2026-04-06,"드디어 추세 전환 포착! 삼성전자에 추가 매수했습니다.
오늘 장 마감 직후 다시 한 번 삼성전자에 매수를 넣었습니다. 증권사 목표가 상향과 수출 호조, 그리고 초고수들의 매수세까지 겹치며 기술적 돌파 신호가 명확히 나왔거든요. D램 가격 정체 우려도 있지만, AI PC 수요와 펀더멘털 개선으로 저평가 구간이라고 봅니다.

지난번 t042, t050, t05",
5,8,post,2026-04-21,"최고치 돌파! 삼성전자에 다시 올인했습니다.
오늘 장 마감 전 코스피 사상 최고치를 경신하며 반도체 수출 호조 모멘텀이 확실히 느껴지네요. 개인 차익 실현 매도세로 등락은 있었지만, 기술적 돌파 신호가 명확해져서 과감하게 추가 매수했습니다.

과거에 진입 타이밍은 잘 잡았는데 청산 타이밍을 놓쳐 상승분을 다 챙기지 못한 적이 많았죠. 이번엔 그 교훈을 살려",
5,9,post,2026-03-05,"드디어 상승 추세 진입! 삼성전자 추가 매수 완료
오늘 장이 막바지로 접어들면서 기술적 돌파 신호가 명확히 확인되더군. 코스피 급등과 반도체 섹터의 강세가 겹치면서 증권사들의 매수 권유도 힘을 얻고 있어. 직전 매수 후 11% 상승, 손절 타이밍도 적절했던 걸로 봐서 이번에는 상승 모멘텀을 잘 포착한 것 같아.

AI 수혜와 메모리 가격 상승 기대 등 업황",
5,10,post,2026-03-17,"드디어 돌파! 삼성전자에 50주 매수 진입했습니다.
오늘 장 마감 직전, 기다리던 기술적 돌파 신호가 왔습니다. 반도체 생산 테마와 HBM 수요 증가로 상승 모멘텀이 확실해 보이는데, 초고수들의 매도세가 조금 부담스러웠지만 결국 개인과 초고수들의 매수 우위로 시장 심리가 전환되더군요.

저는 고위험 고수익을 노리는 스타일이라 과열된 구간을 잡으려다 실수했던",
6,1,post,2026-04-20,"노사 갈등 속 AI 반도체 기대감으로 매수 진입!
오늘 장 마감 직전 삼성전자 다시 샀습니다. 갤럭시 신제품 호조와 AI 반도체 기대감이 단기 모멘텀을 만들고 있긴 한데, 노사 갈등과 거시경제 불확실성 때문에 방향성이 좀 혼조세라 걱정이 되기도 했어요. 그래도 기술적 우위와 적정 밸류에이션을 고려하면 지금이 기회라고 판단했죠. t070 때 타이밍 민감도를 ",
6,2,news,2026-03-12,"[단독] LG디스플레이, GTC 2026 첫 참가…엔비디아와 AI 팩토리 협력 박차 - 매일경제
업계 관계자는 “엔비디아가 삼성전자, SK하이닉스 등 반도체 기업들을 제외한 국내 기업 사례를 집중 조명한 것은 이례적”이라며 “GTC 2026에서 협업이 적극적으로 이뤄지면 LG디스플레이가 엔비디아는 물론 제조 AI에 관심이 많은 다른 글로벌 기업들과도 협업을",
